freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.143e+01,1.017e+01,6.859e+02,7.075e+02
1.5,3.458e+01,3.478e+01,3.997e+02,4.690e+02
3.0,3.675e+01,4.055e+01,3.401e+01,1.113e+02
4.5,3.984e+01,6.438e+01,2.754e+02,3.796e+02
6.0,3.472e+01,6.152e+01,1.078e+03,1.174e+03
7.5,4.552e+01,4.661e+01,1.868e+03,1.960e+03
9.0,3.849e+01,3.966e+01,2.721e+03,2.799e+03
10.6,4.002e+01,4.482e+01,3.655e+03,3.740e+03
12.1,4.161e+01,5.458e+01,4.774e+03,4.870e+03
13.6,3.859e+01,5.563e+01,6.150e+03,6.244e+03
15.1,4.090e+01,5.046e+01,7.825e+03,7.916e+03
16.6,4.018e+01,4.912e+01,9.989e+03,1.008e+04
18.1,4.584e+01,5.412e+01,1.246e+04,1.256e+04
19.6,6.063e+01,5.905e+01,1.526e+04,1.538e+04
21.1,9.951e+01,6.750e+01,1.814e+04,1.831e+04
22.6,9.258e+01,8.704e+01,2.157e+04,2.175e+04
24.1,7.915e+01,1.222e+02,2.613e+04,2.634e+04
25.6,8.079e+01,1.546e+02,3.137e+04,3.160e+04
27.1,7.326e+01,1.507e+02,3.737e+04,3.759e+04
28.6,5.771e+01,1.385e+02,4.533e+04,4.553e+04
30.1,6.291e+01,1.272e+02,5.496e+04,5.515e+04
31.7,7.391e+01,1.354e+02,6.745e+04,6.766e+04
33.2,9.961e+01,2.073e+02,8.406e+04,8.437e+04
34.7,1.547e+02,3.942e+02,1.056e+05,1.061e+05
36.2,2.559e+02,6.612e+02,1.315e+05,1.324e+05
37.7,3.461e+02,8.367e+02,1.541e+05,1.553e+05
39.2,3.681e+02,9.332e+02,1.792e+05,1.805e+05
40.7,3.659e+02,1.402e+03,2.153e+05,2.171e+05
42.2,3.984e+02,2.115e+03,2.757e+05,2.782e+05
43.7,4.888e+02,3.345e+03,3.821e+05,3.859e+05
45.2,7.530e+02,4.426e+03,5.658e+05,5.710e+05
46.7,1.248e+03,4.627e+03,8.778e+05,8.837e+05
48.2,2.097e+03,5.001e+03,1.447e+06,1.454e+06
