freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.337e+01,8.512e+02,1.054e+01,9.451e+02
1.5,8.417e+01,5.423e+02,2.775e+01,6.542e+02
3.0,4.606e+01,8.034e+01,4.005e+01,1.665e+02
4.5,4.736e+01,3.407e+02,6.757e+01,4.556e+02
6.0,4.702e+01,1.009e+03,4.296e+01,1.099e+03
7.5,4.252e+01,1.750e+03,3.053e+01,1.823e+03
9.0,3.816e+01,2.646e+03,2.983e+01,2.714e+03
10.5,4.355e+01,3.837e+03,2.784e+01,3.908e+03
12.0,4.954e+01,5.361e+03,2.736e+01,5.438e+03
13.6,4.979e+01,7.263e+03,2.843e+01,7.341e+03
15.1,4.633e+01,9.505e+03,2.796e+01,9.579e+03
16.6,4.860e+01,1.240e+04,2.846e+01,1.248e+04
18.1,4.588e+01,1.624e+04,3.233e+01,1.632e+04
19.6,5.149e+01,2.102e+04,3.341e+01,2.110e+04
21.1,7.006e+01,2.774e+04,3.474e+01,2.785e+04
22.6,8.881e+01,3.755e+04,4.045e+01,3.768e+04
24.1,1.496e+02,5.213e+04,5.411e+01,5.234e+04
25.6,3.260e+02,7.272e+04,7.965e+01,7.312e+04
27.1,4.469e+02,9.604e+04,1.164e+02,9.660e+04
28.6,2.944e+02,1.252e+05,1.489e+02,1.256e+05
30.1,2.816e+02,1.844e+05,1.189e+02,1.848e+05
31.6,8.098e+02,3.404e+05,8.888e+01,3.413e+05
33.1,5.410e+03,8.829e+05,3.058e+02,8.886e+05
34.6,2.205e+04,1.820e+06,2.313e+03,1.845e+06
36.1,3.529e+04,1.979e+06,4.089e+03,2.019e+06
37.6,3.600e+04,1.570e+06,3.971e+03,1.610e+06
39.2,3.700e+04,1.211e+06,5.087e+03,1.253e+06
40.7,4.101e+04,9.695e+05,6.971e+03,1.017e+06
42.2,4.212e+04,7.551e+05,7.104e+03,8.044e+05
43.7,4.429e+04,5.997e+05,7.162e+03,6.512e+05
45.2,5.112e+04,5.060e+05,7.632e+03,5.648e+05
46.7,6.487e+04,4.528e+05,8.873e+03,5.265e+05
48.2,9.118e+04,4.293e+05,1.258e+04,5.331e+05
49.7,1.386e+05,4.156e+05,1.904e+04,5.733e+05
51.2,1.942e+05,3.820e+05,2.270e+04,5.990e+05
52.7,2.441e+05,3.239e+05,1.561e+04,5.837e+05
54.2,2.821e+05,2.580e+05,4.795e+03,5.449e+05
55.7,2.821e+05,1.804e+05,7.348e+02,4.633e+05
57.2,2.362e+05,1.013e+05,6.796e+02,3.383e+05
58.7,1.755e+05,5.204e+04,1.495e+03,2.290e+05
60.2,1.219e+05,2.870e+04,2.086e+03,1.527e+05
61.7,8.409e+04,1.952e+04,2.658e+03,1.063e+05
63.3,5.926e+04,1.786e+04,3.763e+03,8.088e+04
64.8,4.271e+04,1.768e+04,5.467e+03,6.585e+04
66.3,3.397e+04,1.628e+04,7.010e+03,5.726e+04
67.8,2.845e+04,1.511e+04,7.604e+03,5.117e+04
69.3,2.385e+04,1.459e+04,7.378e+03,4.582e+04
70.8,2.064e+04,1.444e+04,5.515e+03,4.060e+04
72.3,1.792e+04,1.497e+04,3.615e+03,3.651e+04
73.8,1.654e+04,1.528e+04,2.347e+03,3.416e+04
75.3,1.538e+04,1.704e+04,1.876e+03,3.429e+04
76.8,1.426e+04,1.809e+04,1.420e+03,3.376e+04
78.3,1.315e+04,1.678e+04,8.933e+02,3.082e+04
79.8,1.207e+04,1.874e+04,7.862e+02,3.160e+04
81.3,1.102e+04,2.070e+04,7.635e+02,3.249e+04
82.8,1.052e+04,2.269e+04,7.582e+02,3.397e+04
84.3,1.163e+04,2.906e+04,6.631e+02,4.135e+04
85.8,1.176e+04,3.767e+04,7.449e+02,5.017e+04
87.3,1.153e+04,4.573e+04,6.741e+02,5.794e+04
88.9,1.175e+04,5.429e+04,6.696e+02,6.671e+04
90.4,1.211e+04,6.324e+04,1.575e+03,7.693e+04
91.9,9.502e+03,5.810e+04,3.218e+03,7.082e+04
93.4,6.095e+03,4.503e+04,4.084e+03,5.521e+04
94.9,3.642e+03,3.171e+04,3.875e+03,3.923e+04
96.4,1.966e+03,2.099e+04,3.258e+03,2.621e+04
97.9,1.032e+03,1.363e+04,2.583e+03,1.724e+04
